"","year","track","artist","track_title","line","lyric","decade"
"44","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",8,"Would invite us to begin the day","1980s"
"45","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",9,"Something happened along the way","1980s"
"46","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",10,"What used to be happy was sad","1980s"
"47","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",11,"Something happened along the way","1980s"
"48","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",12,"And yesterday was all we had","1980s"
"49","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",13,"And, oh, after the love has gone","1980s"
"50","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",14,"How could you lead me on","1980s"
"51","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",15,"And not let me stay around?","1980s"
"52","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",16,"Oh, oh, oh, after the love has gone","1980s"
"53","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",17,"What used to be right is wrong","1980s"
"54","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",18,"Can love that's lost be found?","1980s"
"55","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",19,"For awhile, to love each other with all","1980s"
"56","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",20,"We would ever need","1980s"
"57","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",21,"Love was strong for so long","1980s"
"58","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",22,"Never knew that what was wrong","1980s"
"59","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",23,"Oh, baby, wasn't right","1980s"
"60","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",24,"We tried to find what we had","1980s"
"61","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",25,"'Til sadness was all we shared","1980s"
"62","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",26,"We were scared","1980s"
"63","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",27,"This affair would lead our love into","1980s"
"64","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",28,"Something happened along the way","1980s"
"65","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",29,"Yesterday was all we had","1980s"
"66","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",30,"Something happened along the way","1980s"
"67","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",31,"What used to be happy is sad","1980s"
"68","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",32,"Something happened along the way","1980s"
"69","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",33,"Oh, and yesterday was all we had","1980s"
"70","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",34,"And, oh, after the love has gone","1980s"
"71","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",35,"How could you lead me on","1980s"
"72","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",36,"And not let me stay around?","1980s"
"73","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",37,"Oh, oh, oh, after the love has gone","1980s"
"74","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",38,"What used to be right is wrong","1980s"
"75","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",39,"Can love that's lost be found?","1980s"
"76","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",40,"Oh, oh, oh, oh, oh, oh","1980s"
"77","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",41,"After the love has gone","1980s"
"78","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",42,"What used to be right is wrong","1980s"
"79","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",43,"Can love that's lost be found?","1980s"
"80","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",44,"Oh, oh, oh","1980s"
"81","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",45,"After the love has gone","1980s"
"82","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",46,"What used to be right is wrong","1980s"
"83","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",47,"Can love that's lost be found?","1980s"
"84","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",48,"Oh, oh, oh","1980s"
"85","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",49,"After the love has gone","1980s"
"86","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",50,"What used to be right is wrong","1980s"
"87","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",51,"Can love that's lost be found?","1980s"
"88","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",52,"Oh, oh, oh","1980s"
"89","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",53,"Oh, oh, oh","1980s"
"90","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",54,"After the love has gone","1980s"
"91","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",55,"What used to be right is wrong","1980s"
"92","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",56,"Can love that's lost be found?","1980s"
"93","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",1,"At first I was afraid, I was petrified","1980s"
"94","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",2,"Kept thinkin' I could never live without you by my side","1980s"
"95","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",3,"But then I spent so many nights thinkin' how you did me wrong","1980s"
"96","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",4,"And I grew strong, and I learned how to get along","1980s"
"97","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",5,"And so you're back, from outer space","1980s"
"98","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",6,"I just walked in to find you here with that sad look upon your face","1980s"
"99","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",7,"I should have changed that stupid lock","1980s"
"100","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",8,"I should have made you leave your key","1980s"
"101","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",9,"If I'd have known for just one second you'd be back to bother me","1980s"
"102","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",10,"Go on now, go, walk out the door","1980s"
"103","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",11,"Just turn around now, 'cause you're not welcome anymore","1980s"
"104","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",12,"Weren't you the one who tried to hurt me with goodbye?","1980s"
"105","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",13,"Did you think I'd crumble? Did you think I'd lay down and die?","1980s"
"106","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",14,"Oh no, not I, I will survive","1980s"
"107","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",15,"Oh, as long as I know how to love, I know I'm still alive","1980s"
"108","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",16,"I've got all my life to live, and I've got all my love to give","1980s"
"109","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",17,"And I'll survive, I will survive, hey hey","1980s"
"110","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",18,"It took all the strength I had, not to fall apart","1980s"
"111","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",19,"Just tryin' hard to mend the pieces of my broken heart","1980s"
"112","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",20,"And I spent oh so many nights just feeling sorry for myself","1980s"
"113","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",21,"I used to cry, but now I hold my head up high","1980s"
"114","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",22,"And you see me, somebody new","1980s"
"115","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",23,"I'm not that chained up little person still in love with you","1980s"
"116","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",24,"And so you felt like droppin' in and just expect me to be free","1980s"
"117","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",25,"Well now I'm saving all my lovin' for someone who's lovin' me","1980s"
"118","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",26,"Go on now, go, walk out the door","1980s"
"119","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",27,"Just turn around now, 'cause you're not welcome anymore","1980s"
"120","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",28,"Weren't you the one who tried to break me with goodbye?","1980s"
"121","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",29,"Did you think I'd crumble? Did you think I'd lay down and die?","1980s"
"122","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",30,"Oh no, not I, I will survive","1980s"
"123","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",31,"Oh, as long as I know how to love, I know I'm still alive","1980s"
"124","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",32,"I've got all my life to live, and I've got all my love to give","1980s"
"125","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",33,"And I'll survive, I will survive, oh","1980s"
"126","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",34,"Go on now go, walk out the door","1980s"
"127","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",35,"Just turn around now, 'cause you're not welcome anymore","1980s"
"128","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",36,"Weren't you the one who tried to break me with goodbye?","1980s"
"129","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",37,"Did you think I'd crumble? Did you think I'd lay down and die?","1980s"
"130","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",38,"Oh no, not I, I will survive","1980s"
"131","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",39,"Oh, as long as I know how to love, I know I'm still alive","1980s"
"132","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",40,"I've got all my life to live, and I've got all my love to give","1980s"
"133","1980","""I Will Survive""","Gloria Gaynor","I Will Survive",41,"And I'll survive, I will survive, I will survive","1980s"
"134","1980","""The Gambler""","Kenny Rogers","The Gambler",1,"On a warm summer's evenin' on a train bound for nowhere","1980s"
"135","1980","""The Gambler""","Kenny Rogers","The Gambler",2,"I met up with a gambler, we were both too tired to sleep","1980s"
"136","1980","""The Gambler""","Kenny Rogers","The Gambler",3,"So we took turns a-starin' out the window at the darkness'Til boredom overtook us and he began to speak","1980s"
"137","1980","""The Gambler""","Kenny Rogers","The Gambler",4,"He said, ""Son, I've made a life out of readin' people's faces","1980s"
"138","1980","""The Gambler""","Kenny Rogers","The Gambler",5,"And knowin' what their cards were by the way they held their eyes","1980s"
"139","1980","""The Gambler""","Kenny Rogers","The Gambler",6,"So if you don't mind my sayin', I can see you're out of aces","1980s"
"140","1980","""The Gambler""","Kenny Rogers","The Gambler",7,"For a taste of your whiskey I'll give you some advice""","1980s"
"141","1980","""The Gambler""","Kenny Rogers","The Gambler",8,"So I handed him my bottle and he drank down my last swallow","1980s"
"142","1980","""The Gambler""","Kenny Rogers","The Gambler",9,"Then he bummed a cigarette and asked me for a light","1980s"
"143","1980","""The Gambler""","Kenny Rogers","The Gambler",10,"And the night got deathly quiet and his face lost all expression","1980s"
"144","1980","""The Gambler""","Kenny Rogers","The Gambler",11,"Said, ""If you're gonna play the game, boy","1980s"
"145","1980","""The Gambler""","Kenny Rogers","The Gambler",12,"You gotta learn to play it right""","1980s"
"146","1980","""The Gambler""","Kenny Rogers","The Gambler",13,"You got to know when to hold 'em, know when to fold 'em","1980s"
"147","1980","""The Gambler""","Kenny Rogers","The Gambler",14,"Know when to walk away and know when to run","1980s"
"148","1980","""The Gambler""","Kenny Rogers","The Gambler",15,"You never count your money when you're sittin' at the table","1980s"
"149","1980","""The Gambler""","Kenny Rogers","The Gambler",16,"There'll be time enough for countin' when the dealing's done","1980s"
"150","1980","""The Gambler""","Kenny Rogers","The Gambler",17,"Every gambler knows that the secret to survivin'","1980s"
"151","1980","""The Gambler""","Kenny Rogers","The Gambler",18,"Is knowin' what to throw away and knowing what to keep'Cause every hand's a winner and every hand's a loser","1980s"
"152","1980","""The Gambler""","Kenny Rogers","The Gambler",19,"And the best that you can hope for is to die in your sleep","1980s"
"153","1980","""The Gambler""","Kenny Rogers","The Gambler",20,"And when he finished speakin'","1980s"
"154","1980","""The Gambler""","Kenny Rogers","The Gambler",21,"He turned back towards the window","1980s"
"155","1980","""The Gambler""","Kenny Rogers","The Gambler",22,"Crushed out his cigarette and faded off to sleep","1980s"
"156","1980","""The Gambler""","Kenny Rogers","The Gambler",23,"And somewhere in the darkness the gambler, he broke even","1980s"
"157","1980","""The Gambler""","Kenny Rogers","The Gambler",24,"But in his final words I found an ace that I could keep","1980s"
"158","1980","""The Gambler""","Kenny Rogers","The Gambler",25,"You got to know when to hold 'em, know when to fold 'em","1980s"
"159","1980","""The Gambler""","Kenny Rogers","The Gambler",26,"Know when to walk away and know when to run","1980s"
"160","1980","""The Gambler""","Kenny Rogers","The Gambler",27,"You never count your money when you're sittin' at the table","1980s"
"161","1980","""The Gambler""","Kenny Rogers","The Gambler",28,"There'll be time enough for countin' when the dealing's done","1980s"
"162","1980","""The Gambler""","Kenny Rogers","The Gambler",29,"You got to know when to hold 'em (When to hold 'em)","1980s"
"163","1980","""The Gambler""","Kenny Rogers","The Gambler",30,"Know when to fold 'em (When to fold 'em)","1980s"
"164","1980","""The Gambler""","Kenny Rogers","The Gambler",31,"Know when to walk away and know when to run","1980s"
"165","1980","""The Gambler""","Kenny Rogers","The Gambler",32,"You never count your money when you're sittin' at the table","1980s"
"166","1980","""The Gambler""","Kenny Rogers","The Gambler",33,"There'll be time enough for countin' when the dealing's done","1980s"
"167","1980","""The Gambler""","Kenny Rogers","The Gambler",34,"You got to know when to hold 'em, know when to fold 'em","1980s"
"168","1980","""The Gambler""","Kenny Rogers","The Gambler",35,"Know when to walk away and know when to run","1980s"
"169","1980","""The Gambler""","Kenny Rogers","The Gambler",36,"You never count your money when you're sittin' at the table","1980s"
"170","1980","""The Gambler""","Kenny Rogers","The Gambler",37,"There'll be time enough for countin' when the dealing's done","1980s"
"171","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",1,"You don't bring me flowers","1980s"
"172","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",2,"You don't sing me love songs","1980s"
"173","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",3,"You hardly talk to me anymore","1980s"
"174","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",4,"When I come through the door at the end of the day...","1980s"
"175","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",5,"I remember when you couldn't wait to love me","1980s"
"176","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",6,"Used to hate to leave me","1980s"
"177","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",7,"Now after loving me late at night","1980s"
"178","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",8,"When it's good for you, babe","1980s"
"179","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",9,"And you're feeling all right","1980s"
"180","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",10,"When you just roll over and turn out the light...","1980s"
"181","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",11,"And you don't bring me flowers anymore","1980s"
"182","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",12,"It used to be so natural","1980s"
"183","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",13,"It used to be...","1980s"
"184","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",14,"To talk about forever","1980s"
"185","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",15,"Mmm...","1980s"
"186","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",16,"But used-to-bes don't count anymore","1980s"
"187","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",17,"They just lay on the floor","1980s"
"188","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",18,"Till we sweep them away","1980s"
"189","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",19,"And baby I remember all the things you taught me","1980s"
"190","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",20,"I learned how to laugh and I learned how to cry","1980s"
"191","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",21,"Well, I learned how to love and I learned how to lie","1980s"
"192","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",22,"So you think I could learn how to tell you goodbye","1980s"
"193","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",23,"So you think I could learn how to tell you goodbye","1980s"
"194","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",24,"You don't bring me flowers any more...","1980s"
"195","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",25,"Well, you think I could learn how to tell you goodbye...","1980s"
"196","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",26,"'Cause you don't say you need me;","1980s"
"197","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",27,"You don't sing me love songs","1980s"
"198","1980","""You Don't Bring Me Flowers""","Barbra Streisand & Neil Diamond","You Don’t Bring Me Flowers",28,"You don't bring me flowers anymore...","1980s"
"199","1981","""Sailing""","Christopher Cross","Sailing",1,"Well, it's not far down to paradise","1980s"
"200","1981","""Sailing""","Christopher Cross","Sailing",2,"At least it's not for me","1980s"
"201","1981","""Sailing""","Christopher Cross","Sailing",3,"And if the wind is right you can sail away","1980s"
"202","1981","""Sailing""","Christopher Cross","Sailing",4,"And find tranquility","1980s"
"203","1981","""Sailing""","Christopher Cross","Sailing",5,"Oh, the canvas can do miracles","1980s"
"204","1981","""Sailing""","Christopher Cross","Sailing",6,"Just you wait and see","1980s"
"205","1981","""Sailing""","Christopher Cross","Sailing",7,"Believe me","1980s"
"206","1981","""Sailing""","Christopher Cross","Sailing",8,"It's not far to never never land","1980s"
"207","1981","""Sailing""","Christopher Cross","Sailing",9,"No reason to pretend","1980s"
"208","1981","""Sailing""","Christopher Cross","Sailing",10,"And if the wind is right you can find the joy","1980s"
"209","1981","""Sailing""","Christopher Cross","Sailing",11,"Of innocence again","1980s"
"210","1981","""Sailing""","Christopher Cross","Sailing",12,"Oh, the canvas can do miracles","1980s"
"211","1981","""Sailing""","Christopher Cross","Sailing",13,"Just you wait and see","1980s"
"212","1981","""Sailing""","Christopher Cross","Sailing",14,"Believe me","1980s"
"213","1981","""Sailing""","Christopher Cross","Sailing",15,"Sailing","1980s"
"214","1981","""Sailing""","Christopher Cross","Sailing",16,"Takes me away to where I've always heard it could be","1980s"
"215","1981","""Sailing""","Christopher Cross","Sailing",17,"Just a dream and the wind to carry me","1980s"
"216","1981","""Sailing""","Christopher Cross","Sailing",18,"Soon I will be free","1980s"
"217","1981","""Sailing""","Christopher Cross","Sailing",19,"Fantasy","1980s"
"218","1981","""Sailing""","Christopher Cross","Sailing",20,"It gets the best of me","1980s"
"219","1981","""Sailing""","Christopher Cross","Sailing",21,"When I'm sailing","1980s"
"220","1981","""Sailing""","Christopher Cross","Sailing",22,"All caught up in the reverie","1980s"
"221","1981","""Sailing""","Christopher Cross","Sailing",23,"Every word is a symphony","1980s"
"222","1981","""Sailing""","Christopher Cross","Sailing",24,"Won't you believe me?","1980s"
"223","1981","""Sailing""","Christopher Cross","Sailing",25,"Sailing","1980s"
"224","1981","""Sailing""","Christopher Cross","Sailing",26,"Takes me away to where I've always heard it could be","1980s"
"225","1981","""Sailing""","Christopher Cross","Sailing",27,"Just a dream and the wind to carry me","1980s"
"226","1981","""Sailing""","Christopher Cross","Sailing",28,"And soon I will be free","1980s"
"227","1981","""Sailing""","Christopher Cross","Sailing",29,NA,"1980s"
"228","1981","""Sailing""","Christopher Cross","Sailing",30,"Well, it's not far back to sanity","1980s"
"229","1981","""Sailing""","Christopher Cross","Sailing",31,"At least it's not for me","1980s"
"230","1981","""Sailing""","Christopher Cross","Sailing",32,"And if the wind is right you can sail away","1980s"
"231","1981","""Sailing""","Christopher Cross","Sailing",33,"And find serenity","1980s"
"232","1981","""Sailing""","Christopher Cross","Sailing",34,"Oh, the canvas can do miracles","1980s"
"233","1981","""Sailing""","Christopher Cross","Sailing",35,"Just you wait and see","1980s"
"234","1981","""Sailing""","Christopher Cross","Sailing",36,"Really, believe me","1980s"
"235","1981","""Sailing""","Christopher Cross","Sailing",37,"Sailing","1980s"
"236","1981","""Sailing""","Christopher Cross","Sailing",38,"Takes me away to where I've always heard it could be","1980s"
"237","1981","""Sailing""","Christopher Cross","Sailing",39,"Just a dream and the wind to carry me","1980s"
"238","1981","""Sailing""","Christopher Cross","Sailing",40,"And soon I will be free","1980s"
"239","1981","""The Rose""","Bette Midler","The Rose",1,"Some say love, it is a river","1980s"
"240","1981","""The Rose""","Bette Midler","The Rose",2,"That drowns the tender reed","1980s"
"241","1981","""The Rose""","Bette Midler","The Rose",3,"Some say love, it is a razor","1980s"
"242","1981","""The Rose""","Bette Midler","The Rose",4,"That leaves your soul to bleed","1980s"
"243","1981","""The Rose""","Bette Midler","The Rose",5,"Some say love, it is a hunger","1980s"
"244","1981","""The Rose""","Bette Midler","The Rose",6,"An endless aching need","1980s"
"245","1981","""The Rose""","Bette Midler","The Rose",7,"I say love, it is a flower","1980s"
"246","1981","""The Rose""","Bette Midler","The Rose",8,"And you its only seed","1980s"
"247","1981","""The Rose""","Bette Midler","The Rose",9,"It's the heart afraid of breaking","1980s"
"248","1981","""The Rose""","Bette Midler","The Rose",10,"That never learns to dance","1980s"
"249","1981","""The Rose""","Bette Midler","The Rose",11,"It's the dream afraid of waking","1980s"
